date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:02	661776/661776	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:00%20GMT	https://www.datacaptive.com/business-email-list/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/business-email-list/index.html	(from https://www.datacaptive.com/)
14:20:02	1561/1561	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:14:59%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/company-insights.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/company-insights.jpg	(from https://www.datacaptive.com/)
14:20:03	2446275/2446275	---M--	200	added ('OK')	video/mp4	date:Wed,%2019%20Feb%202020%2009:18:14%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/DataCaptive-b2b-prospect-database.mp4	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/DataCaptive-b2b-prospect-database.mp4	(from https://www.datacaptive.com/)
14:20:03	1732/1732	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:15:08%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/contact-insights.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/contact-insights.jpg	(from https://www.datacaptive.com/)
14:20:05	461232/461232	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:04%20GMT	https://www.datacaptive.com/data-enrichment-solutions/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-enrichment-solutions/index.html	(from https://www.datacaptive.com/)
14:20:05	1777/1777	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:15:11%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/healthcare-prospectlist.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/healthcare-prospectlist.jpg	(from https://www.datacaptive.com/)
14:20:06	480703/480703	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:06%20GMT	https://www.datacaptive.com/data-appending/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-appending/index.html	(from https://www.datacaptive.com/)
14:20:06	1736/1736	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:15:14%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/technology-userlist.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/technology-userlist.jpg	(from https://www.datacaptive.com/)
14:20:07	404952/404952	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:06%20GMT	https://www.datacaptive.com/data-appending/full-contact-appending/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-appending/full-contact-appending/index.html	(from https://www.datacaptive.com/)
14:20:07	16105/16105	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:15:04%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/how-1-Boost-customer-retention-with-Intent-Data.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/how-1-Boost-customer-retention-with-Intent-Data.jpg	(from https://www.datacaptive.com/)
